Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     40.77     0.00   288000     0.00     0.00  MES::ShapeFunctions::dKsi::NMatrix(MES::node)
  0.00     40.77     0.00   288000     0.00     0.00  MES::ShapeFunctions::dKsi::NMatrix(double)
  0.00     40.77     0.00   288000     0.00     0.00  MES::IntegrationPoint::getWeight(int, int)
  0.00     40.77     0.00   288000     0.00     0.00  MES::Jakobian::Jakobian(MES::Jakobian const&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<0ul, MES::Matrix, false>::_M_head(std::_Head_base<0ul, MES::Matrix, false>&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<0ul, MES::Matrix, false>::_Head_base<MES::Matrix>(MES::Matrix&&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<0ul, MES::Matrix, false>::~_Head_base()
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<1ul, MES::Matrix, false>::_M_head(std::_Head_base<1ul, MES::Matrix, false>&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<1ul, MES::Matrix, false>::_Head_base<MES::Matrix>(MES::Matrix&&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Head_base<1ul, MES::Matrix, false>::~_Head_base()
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<0ul, MES::Matrix, MES::Matrix>::_M_head(std::_Tuple_impl<0ul, MES::Matrix, MES::Matrix>&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<0ul, MES::Matrix, MES::Matrix>::_Tuple_impl<MES::Matrix, MES::Matrix, void>(MES::Matrix&&, MES::Matrix&&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<0ul, MES::Matrix, MES::Matrix>::~_Tuple_impl()
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<1ul, MES::Matrix>::_M_head(std::_Tuple_impl<1ul, MES::Matrix>&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<1ul, MES::Matrix>::_Tuple_impl<MES::Matrix>(MES::Matrix&&)
  0.00     40.77     0.00   288000     0.00     0.00  std::_Tuple_impl<1ul, MES::Matrix>::~_Tuple_impl()
  0.00     40.77     0.00   288000     0.00     0.00  std::array<MES::Matrix, 4ul>::~array()
  0.00     40.77     0.00   288000     0.00     0.00  std::tuple<MES::Matrix, MES::Matrix>::~tuple()
  0.00     40.77     0.00   288000     0.00     0.00  MES::Matrix& std::__get_helper<0ul, MES::Matrix, MES::Matrix>(std::_Tuple_impl<0ul, MES::Matrix, MES::Matrix>&)
  0.00     40.77     0.00   288000     0.00     0.00  MES::Matrix& std::__get_helper<1ul, MES::Matrix>(std::_Tuple_impl<1ul, MES::Matrix>&)
  0.00     40.77     0.00   288000     0.00     0.00  std::tuple_element<0ul, std::tuple<MES::Matrix, MES::Matrix> >::type&& std::get<0ul, MES::Matrix, MES::Matrix>(std::tuple<MES::Matrix, MES::Matrix>&&)
  0.00     40.77     0.00   288000     0.00     0.00  std::tuple_element<1ul, std::tuple<MES::Matrix, MES::Matrix> >::type&& std::get<1ul, MES::Matrix, MES::Matrix>(std::tuple<MES::Matrix, MES::Matrix>&&)
  0.00     40.77     0.00    19220     0.00     0.00  MES::operator*(MES::Matrix const&, double)
  0.00     40.77     0.00    19220     0.00     0.00  MES::operator*(double, MES::Matrix const&)
